title,link,published,source,summary
Tesla’s 4680 battery supply chain collapses as partner writes down deal by 99% - Electrek,https://news.google.com/rss/articles/CBMingFBVV95cUxOTURQbnh0ZFEzak9idWRJekJxamM4bXFrQzNHZVdXMi0xMElzRk9PZWdQUURVeTJUNThkQ25uOFBkSFBwQjdNVzJEVmYwRXJEaDVnV1NiT29wazdibDZQNjZYX1JHZVNUUWc4d1p0cVFTWno0OHpUN3ZWcXhxai1naW5BM2dJZWJFLXdTNlRwZjdYWE9nUDRXby03bFRMdw?oc=5,2025-12-29,Electrek,Tesla’s 4680 battery supply chain collapses as partner writes down deal by 99% Electrek
Tesla Drops a Supply?Chain Bombshell That Could Reshape the EV Race - Yahoo Finance,https://news.google.com/rss/articles/CBMihwFBVV95cUxNbTNVY2Y4Vl9wck56TExWV1dvaklfYUFFMUt3WXlTSEE3N1dRcUVKVHZkMm0tRFVOQlB0MVVjcEtxSFZiU2hnTWtCV09LZFBMVVgxaHhIMFFJSjBMN0s4ZGNqWERVLURSNzY3QVlLYU9sd0dHckJLQUJKVkMyaUxFYjFteXo2clU?oc=5,2025-11-27,Yahoo Finance,Tesla Drops a Supply?Chain Bombshell That Could Reshape the EV Race Yahoo Finance
"Tesla says it values China suppliers, does not exclude any by origin - Reuters",https://news.google.com/rss/articles/CBMizgFBVV95cUxNSmRTNGlxdmtYQmJ6dVliQk90NFJmUWhqMmlqeVFrTkJTczI2cWRqLWNkWEx6TUdmM1dYQVJmLWNhdFhMMUJmZ3djOS03SFlZd2xLaVE4QTN1ZkRnVmduS1NhYThRSWZkclNUdEItZHFBOS1aNmdnXzJPeTUxSnNfZXg5a1dUeThmMEJsWll2NmxVQXhseWxDRXk5MDY1U2haOEoycXlXdmp3WjZIcy1kbXlKWXBNZ21qZ0pFNGNYZGhjUkZUYWQ1YkpLM0ozZw?oc=5,2025-11-25,Reuters,"Tesla says it values China suppliers, does not exclude any by origin Reuters"
Tesla To Phase Out Chinese Made Parts For US Cars Within Two Years - CleanTechnica,https://news.google.com/rss/articles/CBMipwFBVV95cUxPV1JlZ3RmNjZlRmpiQU5fNkxZVm1yMjRneV9OVVZLaEdfR28xWE9yT052bFQtQVFfM2QtZG5CckdJWWlmUHdUak1OcmtwZ0xOVUdFM1NxZkxuQi00UWhtaHNKbGxnV1JhMXNaTTlaSjhBRlRaZ21tV1J0X3Z6Ymt1X0lwcmJ6TzczUWVtb044NmpVVGd5NGZ3aDd3RDNUeHpJNTNFbGxwWdIBrAFBVV95cUxQbFVESzRRb1NTQ3JiYlBCdjFoZVdsaHVzc2RURDVlSzc4X2R2ZXVEOWR2T0c0aHVKTkdreDBHdWhfR1BNeDJmU3RpVVV0Y1JFMFVYMjZ3eWRhOGF0T3lJRjI0ay0yQUVaeTdfWHlrUDVXbTAtQ2h5Um9MNmxlNFdrYjRyY2JiVjJESllpc3p5ZmZLZVBqcV9RMF9UZ2hUU3NMRG5DaDVnX0ZPVUJo?oc=5,2025-11-18,CleanTechnica,Tesla To Phase Out Chinese Made Parts For US Cars Within Two Years CleanTechnica
"Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports - Reuters",https://news.google.com/rss/articles/CBMizgFBVV95cUxPNDNYZkFjMkpycWM5TlRJY21sMFdERTJSRVJrMU81QUdsZ0l4NHNGMmt4UlFCcUVlazVURmJiS2hILS11WGprallZX3FHNnVwa0lqS3hMSjdiVDF0RDBsN0VFQ2xoSDl0QTZtTnFBMXBzTFl4NVZvb1lyUDk0czB4dUlXeUJwWVhKTTBNRVNDVTBJSFlJbndQZUZ0UkczcVFMRm50V1NLdnRzM3pTYmVIWktLQjUxaTd2QllUVllXWjh1Z3B3amNVcFpreFlwQQ?oc=5,2025-11-15,Reuters,"Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports Reuters"
DHL adds Tesla Semi to California fleet - Trucking Dive,https://news.google.com/rss/articles/CBMinAFBVV95cUxNM0RrXzZxOWN0MkRwZG9YSkdjMHlHeG56b0tlYlpoUW92M2p3dVBpeHNxRU1EanFrOHJWNm9VclZ3eUx2bWxJYjVWWkpMdTA0Y3c5YXB0QTFzcGNTRUFlTVBMRUJWdkVZc21lUlZoMEhESGE5U1lvLVZFQ2JudGVrVlVwRko4Zk84RndodTdMNFNIWGdMa0VrVzhsRWg?oc=5,2025-12-10,Trucking Dive,DHL adds Tesla Semi to California fleet Trucking Dive
Tesla pushing suppliers to cut all China-made parts for US cars - Electrek,https://news.google.com/rss/articles/CBMikgFBVV95cUxORVZ6UFdxcWlzTTdmN2FEMGJZaEI4OE54ajBGYUhWamdtRWdLSTVXTWhCeHBkMS0xWTktd3VqSDF6N0FDY0plcDVpdDcxdXl0eHQwVExHREVPa2FjaUI1NFBFaVRHRkdyNHVtS2VOV1hXR2xxVmlDRnA2TktYR3FUN1lUeTBJeG9pejRLZXZkc205QQ?oc=5,2025-11-17,Electrek,Tesla pushing suppliers to cut all China-made parts for US cars Electrek
Supply chain giant announces promising partnership with Tesla: 'Unlocks opportunities that were previously beyond the limits' - Yahoo Finance,https://news.google.com/rss/articles/CBMijAFBVV95cUxOSHNpV0FCMkI1eG5EdC14eHZjZ05PSWM5WFZpajBBenljUEx6YjhVVWFOSnlhMFJCUUNVdW1iRkNpbTdKNkJvdHZhRUl1bHd3d09BazVMWXVDdnlhQVRaSmJ4MmlZZ3BaQl9ldGs1Z3Q5bWNqY2l0TFFzRGRiY3lkSE5LLTZEX2kzVTZpNQ?oc=5,2026-01-07,Yahoo Finance,Supply chain giant announces promising partnership with Tesla: 'Unlocks opportunities that were previously beyond the limits' Yahoo Finance
Tesla Explores Indian Semiconductor Suppliers to Strengthen Global Supply Chain - Assembly Magazine,https://news.google.com/rss/articles/CBMivwFBVV95cUxORUN1alRjY1RSTEp3elRVem5JUmpKUTY1ZkdYM3kyaTltejZ6VGRPT1lXeEg0dVhOR1RPMmw4bTk3eUpZTHJxakNsNi1aV2V5MEZ4dy02NEhoZkdEdDNEaWFqUXFJYVRZdEZ4YUdCVzFwTURJSkUxb1FpclNuS2lJZ3BNdzRDVXJaZHBfVngxSWNQSExpNE52c1NIbGxnLWlkUEY5eDFmdk1EVGlsQTdtaDFERFR3ZmhuRzM2eFI3aw?oc=5,2025-04-21,Assembly Magazine,Tesla Explores Indian Semiconductor Suppliers to Strengthen Global Supply Chain Assembly Magazine
Analysis: Tesla Optimus production strategy tied to China's robotics supply chain - digitimes,https://news.google.com/rss/articles/CBMingFBVV95cUxPbFU1YmNQdkxyOUJxbVRyUmZoQlR6QkkxMUNwMmVHM1pTWU03ZTJEOVFLWWlmWm9KbllEbnk4VUpMd0hTWENoYzE2ZEVqX1JNd2UxMHVkbXZOLTJLd3pLYUM2ZmhBeDhiVllCY1BPbkNJeFdVcjJTRFhGSGgwaGhqQVVWV0JlWElpTHFoU3A0aUdvVDNvLVFnaDRFcW8zZw?oc=5,2026-02-05,digitimes,Analysis: Tesla Optimus production strategy tied to China's robotics supply chain digitimes
"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily",https://news.google.com/rss/articles/CBMi6gFBVV95cUxNNklrNnZ1WlJncWFlSFdjRGo5dDBBQzR0TVJ5SFlFelA0WWdMNUtIWmt1Z21vTXdnMG1kNjY1bEpjN0l6Rk54NFVndVhYSEVtRkR4RW43TXpqQmdTQnVDSnpZMjV3WUwzZm9ydXNYTTBibGIzQWh1M2xPRENaVUs0WFBiTXhBWXVvdWd2Z3U2REpEcTQzYkoxcl92bmZzR1Y2dVFOZUNJSm9tazJYREZLbzBTdFphLXg1Rk5ZMjl1eUNwTW5KYVNmdmZIeVdvMTdyZW5ZMXB6NUhWamxxT1ZHOFBod2hlMXdSZVE?oc=5,2025-12-23,Korea JoongAng Daily,"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness Korea JoongAng Daily"
Tesla deepens China supply chain ties as 95% of Model Y parts are sourced locally - digitimes,https://news.google.com/rss/articles/CBMioAFBVV95cUxNYUZKRzQ5RkRwOV81QUhrc2ZEMWV5WmppbVNtYzV3ZE1Ia19LcVdiakloY2x1OE01LXFZalV6WG9oeWlOaW1pLUNTM004YUV2eUtiYmJDdEVmTU5ma01PaDlpcHBCcjZ1RDBvWHlxMVlCOGZueUd1Z1otcGR0OEpDRUZHYUR2ZTRfcVZSbDRHajRYUjZSVGRyNUdCYmY4MGFh?oc=5,2025-05-07,digitimes,Tesla deepens China supply chain ties as 95% of Model Y parts are sourced locally digitimes
Tesla’s ‘local’ gigafactories help protect Musk from Trump’s tariffs - EL PAÍS English,https://news.google.com/rss/articles/CBMixwFBVV95cUxOMGFyZ0ZGTy04aUpNTW5FSzVLWUVWNmJ3dDFSSXhEb1B5RHp5RXZTcWZiWGNuTjJuelc3djEtX096UjByNGZoTzRwS2NhdzBZVjFHZ3BUU3E2bzVHUVhvQ2YtZEk3aGVVci15Q3AxckxsaUdmbzMwOEw1UGNESkJna25tbXplR3Y1Z2oxVnloakd2Nzd2Ulo1WV9wSlNTbTFoQUh3eEdKNU41NVNzdWpES3FORkhwNHNuS2Z0b0R0YmNqNnFzMk5R0gHbAUFVX3lxTFBFbVlzSDJVTzF2dHhZcV8tdlNxNHlXenZFaDJVY1ZHYXFmMUxwRXFSQ0FtUWI2b0t3aUVBNkg0VTBNclhtbzZZbWEwR3Itejg3VEFsOWtVYUhKZUZVbXk5Mlk2bTNBSU45TWhpSE84ZktEcnZxTWVuT0pqaFZHbHFFRkFSdklfTlpocHZZWjBXblVrZzdkODVPc3R5eHllYWZWVmxLVmFUZUV0V1dyR2FCVWhNNTUyZDg0eFFWOXhtQUZPdjl1dFktdUlPY2htaFd4dTBOc2Y5dHRCWQ?oc=5,2025-04-07,EL PAÍS English,Tesla’s ‘local’ gigafactories help protect Musk from Trump’s tariffs EL PAÍS English
Elon Musk Says Most Drones Have ‘Supply Chain Dependency on China.’ He’s Wrong. - Barron's,https://news.google.com/rss/articles/CBMi_wJBVV95cUxOekJYdE9adzVvU2NhMXdPckxhbHQwNnhoWVZOTm04SWtBMEdtcmJaRDh5eU5mWVFwcDc2c0Z5bjZpb3NMODZrUzZpa3BHdWdMdTVuNTVjcm1pMmpLTlZKN3pLc1RCakxKd2tNa25DVW0yR2RvMFpZdW1QVTVCcklvRzZQQjhzc2VtUWRzSTN5akxiMHFCa1pGNGdLcU5EY1FQNzc0ZC1iX3U2dmFGTVgtMVlyRjhiY0NmS2xOaVREbTAtU3dSQ0d0VzdpdnpCcVlWS0NkbDdBbVVlRk1DMFdWSE14WTB5dnhpejN3YmRKSHRCT2lfaGE1WndTUnBvM3NvUDNFQ1ZXWFQ3cDdqdjRyVTAxaDBZRFFKUU05Q3pQQURDZmxiNml4RkMxWFNvNnVfSUVDSU1IOGRySXNuc0VaeFN4MTUtcEdkVlFCUXVIeGlKdDhqU2ZabzlkNzdXYVotdEdLQzJkVjBUaFRxTVpzcjBmMnJEU1NUUHR5dzIwQQ?oc=5,2025-04-24,Barron's,Elon Musk Says Most Drones Have ‘Supply Chain Dependency on China.’ He’s Wrong. Barron's
